date	Eastern-Cape	Free-State	Gauteng	KwaZulu-Natal	Limpopo	Mpumalanga	Northern-Cape	North-West	Western-Cape	National
20200305	0	0	0	1	0	0	0	0	0	1
20200306	0	0	0	0	0	0	0	0	0	0
20200307	0	0	1	0	0	0	0	0	0	1
20200308	0	0	0	1	0	0	0	0	0	1
20200309	0	0	0	4	0	0	0	0	0	4
20200310	0	0	0	0	0	0	0	0	0	0
20200311	0	0	4	1	0	0	0	0	1	6
20200312	0	0	1	1	0	1	0	0	0	3
20200313	0	0	4	2	0	0	0	0	2	8
20200314	0	0	7	1	0	0	0	0	6	14
20200315	0	0	7	1	0	0	0	0	5	13
20200316	0	0	7	0	1	1	0	0	2	11
20200317	0	0	14	4	0	0	0	0	5	23
20200318	0	0	16	3	0	2	0	0	10	31
20200319	0	0	15	3	0	1	0	0	15	34
20200320	0	7	33	1	0	0	0	0	11	52
20200321	1	0	16	3	0	0	0	0	18	38
20200322	1	2	7	9	0	1	0	0	14	34
20200322	1	2	7	9	0	1	0	0	14	34
20200323	0	4	75	24	2	4	2	4	12	127
20200324	0	5	95	21	0	0	0	1	30	152
20200325	0	15	64	11	0	0	0	0	61	151
20200326	3	16	43	43	3	1	0	1	37	147
20200327	0	0	0	0	0	0	0	0	0	0
20200328	5	19	124	22	5	1	3	0	42	221
20200329	2	4	51	11	1	1	1	0	39	110
20200330	0	0	34	4	1	0	3	2	14	58
20200331	0	2	15	8	3	1	3	0	1	33
20200401	3	2	12	7	0	0	1	1	1	27
20200402	2	8	18	20	2	1	0	0	27	78
20200403	4	0	9	9	0	0	0	0	21	43
20200404	4	1	21	17	2	5	0	2	59	111
20200405	6	2	11	14	1	0	1	0	21	56
20200406	1	2	9	11	0	0	0	0	8	31
20200407	0	0	0	0	0	0	0	0	0	0
20200408	13	1	69	97	2	3	5	4	33	227
20200409	16	5	13	33	1	1	2	0	20	91
20200410	7	1	6	25	2	0	0	3	26	70
20200411	1	0	12	6	1	0	1	1	5	27
20200412	19	2	52	25	0	1	0	0	41	140
20200413	16	0	25	22	0	1	0	3	30	97
20200414	70	2	19	24	1	0	0	0	26	142
20200415	25	1	21	30	1	0	0	1	14	93
20200416	21	1	39	20	1	0	0	1	18	101
20200417	26	2	49	52	0	1	0	0	42	172
20200418	24	0	83	13	0	2	0	0	119	241
20200419	23	0	47	13	1	2	0	0	32	118
20200420	17	5	22	22	0	0	2	1	72	141
20200421	35	1	29	32	0	1	2	1	70	171
20200422	32	0	25	87	0	1	0	0	69	214
20200423	40	0	28	49	0	0	0	1	200	318
20200424	63	5	29	34	2	1	0	0	134	268
20200425	8	0	23	6	1	1	0	3	101	143
20200426	47	1	27	16	1	0	1	0	94	187
20200427	53	1	22	39	0	3	0	0	129	247
20200428	28	2	24	17	0	2	0	1	133	207
20200429	14	0	31	37	0	7	0	0	265	354
20200430	17	3	38	24	1	5	0	2	207	297
20200501	44	2	61	26	2	1	1	4	165	306
20200502	41	3	91	45	2	5	5	0	193	385
20200503	42	1	26	25	1	6	1	1	344	447
20200504	40	3	37	30	2	7	1	1	318	439
